,event,value,time,pos
0,key,KeyboardEvent([ up),0.07474398612976074,"(2445, 168)"
1,key,KeyboardEvent(d down),0.8771378993988037,"(2445, 168)"
2,key,KeyboardEvent(d up),0.9522538185119629,"(2445, 168)"
3,button,"ButtonEvent(event_type='down', button='left', time=1702041953.510144)",2.3805439472198486,"(889, 1112)"
4,button,"ButtonEvent(event_type='up', button='left', time=1702041953.6072958)",2.4776957035064697,"(889, 1112)"
5,button,"ButtonEvent(event_type='down', button='left', time=1702041955.640437)",4.510836839675903,"(1448, 867)"
6,button,"ButtonEvent(event_type='up', button='left', time=1702041955.7335992)",4.605000734329224,"(1448, 867)"
7,button,"ButtonEvent(event_type='down', button='left', time=1702041956.9102387)",5.780638694763184,"(1997+20, 1075)"
8,button,"ButtonEvent(event_type='up', button='left', time=1702041957.025436)",5.895835876464844,"(1997, 1075)"
9,button,"ButtonEvent(event_type='down', button='left', time=1702041958.786729)",7.6571290493011475,"(748, 1015)"
10,button,"ButtonEvent(event_type='up', button='left', time=1702041958.8999276)",7.770327568054199,"(748, 1015)"
11,button,"ButtonEvent(event_type='down', button='left', time=1702041960.671204)",9.541604042053223,"(748, 1015)"
12,button,"ButtonEvent(event_type='up', button='left', time=1702041960.787407)",9.657806873321533,"(748, 1015)"
13,button,"ButtonEvent(event_type='down', button='left', time=1702041962.6911242)",11.561524152755737,"(748, 1015)"
14,button,"ButtonEvent(event_type='up', button='left', time=1702041962.8228533)",11.6932532787323,"(748, 1015)"
15,button,"ButtonEvent(event_type='down', button='left', time=1702041964.557197)",13.427597045898438,"(748, 1015)"
16,button,"ButtonEvent(event_type='up', button='left', time=1702041964.6713986)",13.54179859161377,"(748, 1015)"
17,key,KeyboardEvent(e down),15.526761054992676,"(228-10, 403+30)"
18,key,KeyboardEvent(e up),15.618953943252563,"(228-10, 403+30)"
19,key,KeyboardEvent(q down),18.601906538009644,"(1660, 259)"
20,key,KeyboardEvent(q up),18.70621657371521,"(1660, 259)"
21,key,KeyboardEvent(q down),19.323151111602783,"(1929, 277)"
22,key,KeyboardEvent(q up),19.4093120098114,"(1929, 277)"
23,key,KeyboardEvent(q down),20.07532548904419,"(1829, 429)"
24,key,KeyboardEvent(q up),20.18504500389099,"(1829, 429)"
25,key,KeyboardEvent(q down),21.07389545440674,"(1981, 255)"
26,key,KeyboardEvent(q up),21.193116664886475,"(1981, 255)"

27,key,KeyboardEvent(a down),21.757542371749878,"(1976, 264)"
28,key,KeyboardEvent(a up),21.867218494415283,"(1976, 264)"

27,key,KeyboardEvent(a down),21.787542371749878,"(1876, 300)"
28,key,KeyboardEvent(a up),21.887218494415283,"(1976, 264)"

35,key,KeyboardEvent(a down),21.804318208694458,"(1818-100, 332+300)"
36,key,KeyboardEvent(a up),21.903637619018555,"(1818-100, 332+300)"

29,key,KeyboardEvent(f down),22.95088267326355,"(1842, 323)"
30,key,KeyboardEvent(f up),23.06108069419861,"(1828, 328)"
31,key,KeyboardEvent(f down),23.332589149475098,"(1818, 332)"
32,key,KeyboardEvent(f up),23.430255651474,"(1818, 332)"
33,key,KeyboardEvent(f down),23.72479820251465,"(1818, 332)"
34,key,KeyboardEvent(f up),23.82247757911682,"(1818, 332)"
35,key,KeyboardEvent(a down),24.534318208694458,"(1818-100, 332+300)"
36,key,KeyboardEvent(a up),24.683637619018555,"(1818-100, 332+300)"
37,key,KeyboardEvent(f down),25.472644090652466,"(1818, 332)"
38,key,KeyboardEvent(f up),25.594364643096924,"(1818, 332)"
39,key,KeyboardEvent(f down),25.867854595184326,"(1818, 332)"
40,key,KeyboardEvent(f up),25.972052335739136,"(1818, 332)"
41,key,KeyboardEvent(f down),26.302165508270264,"(1818, 332)"
42,key,KeyboardEvent(f up),26.41236138343811,"(1818, 332)"
43,key,KeyboardEvent(a down),26.862434148788452,"(1818, 332)"
44,key,KeyboardEvent(a up),27.002713441848755,"(1818, 332)"
45,key,KeyboardEvent(f down),27.710883378982544,"(1818, 332)"
46,key,KeyboardEvent(f up),27.832024097442627,"(1818, 332)"
47,key,KeyboardEvent(f down),28.066421508789062,"(1818, 332)"
48,key,KeyboardEvent(f up),28.159590244293213,"(1818, 332)"
49,key,KeyboardEvent(f down),28.28640627861023,"(1818, 332)"
50,key,KeyboardEvent(f up),28.39057993888855,"(1818, 332)"
51,key,KeyboardEvent(a down),29.010951042175293,"(1818, 332)"
52,key,KeyboardEvent(a up),29.138161420822144,"(1818, 332)"
53,key,KeyboardEvent(] down),29.846561908721924,"(1818, 332)"
